Wall time,Step,Value
1713318808.5739782,400,19.984722137451172
1713318986.7528465,600,21.67395782470703
1713319058.8198173,700,22.160818099975586
1713319293.1975915,1100,22.32131576538086
1713319338.0610259,1200,21.593170166015625
1713319417.7730863,1400,23.994544982910156
1713319456.754408,1500,24.520343780517578
1713319490.0963452,1600,22.14511489868164
1713319521.7770636,1700,24.072002410888672
1713319552.540506,1800,21.589488983154297
1713319582.656536,1900,21.34273338317871
1713319612.3332324,2000,24.291149139404297
1713319642.1824489,2100,25.738107681274414
1713319760.7431676,2500,26.425411224365234
1713319790.3672514,2600,21.81448745727539
1713320025.9681473,3400,25.8414249420166
1713320055.5140538,3500,25.930076599121094
1713320114.257296,3700,25.918195724487305
1713320202.5518932,4000,23.87678337097168
1713320231.986506,4100,25.3946533203125
1713320290.8131154,4300,23.682146072387695
1713320320.3482115,4400,25.84754753112793
1713320349.7398155,4500,23.682050704956055
1713320379.1732838,4600,25.539657592773438
1713320437.9374971,4800,26.854412078857422
1713320497.0267274,5000,25.5469913482666
1713320526.4807098,5100,25.97215461730957
1713320614.9238484,5400,26.601850509643555
1713320644.3403146,5500,26.407184600830078
1713320673.766176,5600,25.002246856689453
1713320703.1845095,5700,28.094528198242188
1713320732.7581897,5800,25.377033233642578
1713320821.1006007,6100,27.436676025390625
1713320850.6750596,6200,25.013900756835938
1713320909.6204693,6400,25.202255249023438
1713320968.5038238,6600,26.33855438232422
1713320998.0820673,6700,27.78278350830078
1713321027.6019523,6800,25.998971939086914
1713321057.1070771,6900,28.334741592407227
1713321145.6451418,7200,25.672853469848633
1713321175.1146834,7300,24.386390686035156
1713321204.6085424,7400,25.763511657714844
1713321234.0871513,7500,27.26363754272461
1713321293.137652,7700,25.609237670898438
1713321352.100547,7900,26.466045379638672
1713321381.7071292,8000,25.337844848632812
1713321529.2511673,8500,24.02640151977539
1713321558.7358642,8600,26.33018684387207
1713321588.1831484,8700,29.042110443115234
1713321617.7017047,8800,28.114849090576172
1713321647.2886925,8900,27.08330535888672
1713321676.780549,9000,25.486351013183594
1713321824.4889686,9500,27.643281936645508
1713322060.8894432,10300,28.35567855834961
1713322119.9400203,10500,27.86369514465332
1713322149.4640427,10600,27.28670883178711
1713322179.0612457,10700,28.443696975708008
1713322385.8722537,11400,24.9802303314209
1713322474.5485106,11700,27.653175354003906
1713322533.5598438,11900,29.7979736328125
1713322562.991024,12000,25.96643829345703
1713322592.6822813,12100,28.785646438598633
1713322710.936617,12500,27.310256958007812
1713322740.4630194,12600,29.267118453979492
1713322769.9437191,12700,28.586719512939453
1713322858.6206853,13000,27.533376693725586
1713322888.0819495,13100,28.343420028686523
1713322976.663528,13400,27.85342788696289
1713323094.701866,13800,28.39385223388672
1713323153.8750677,14000,25.81463050842285
1713323212.8263664,14200,25.198200225830078
1713323242.4667752,14300,30.201725006103516
1713323271.9822514,14400,26.482845306396484
1713323301.5086765,14500,26.823135375976562
1713323331.027373,14600,28.946956634521484
1713323360.5183115,14700,29.705432891845703
1713323419.62348,14900,27.043651580810547
1713323478.6760235,15100,26.174537658691406
1713323567.3781123,15400,29.402759552001953
1713323596.90882,15500,26.895084381103516
1713323626.442942,15600,28.32990837097168
1713323685.5484598,15800,28.983379364013672
1713323715.0338109,15900,28.93893814086914
1713323744.5194888,16000,29.688087463378906
1713323803.6265202,16200,25.884647369384766
1713323833.2146916,16300,27.41162872314453
1713323892.150511,16500,27.442405700683594
1713323921.7640646,16600,28.527297973632812
1713323980.8196683,16800,28.215635299682617
1713324010.3542268,16900,28.078853607177734
1713324099.004877,17200,29.106054306030273
1713324217.2105083,17600,29.13121795654297
1713324246.7251232,17700,29.22744369506836
1713324276.2732308,17800,27.675212860107422
1713324305.8888865,17900,29.130022048950195
1713324364.9532177,18100,30.954368591308594
1713324394.415667,18200,28.746793746948242
1713324453.5430017,18400,30.227582931518555
1713324512.5663466,18600,27.994464874267578
1713324542.0747595,18700,29.66029930114746
1713324571.66216,18800,28.25055694580078
1713324601.173035,18900,27.938404083251953
1713324660.2196367,19100,29.684295654296875
1713324689.7419176,19200,29.748308181762695
1713324896.6430285,19900,29.9168701171875
1713325014.8230438,20300,29.397994995117188
1713325133.0105896,20700,27.512882232666016
1713325162.4818575,20800,31.054214477539062
1713325191.9435623,20900,27.450332641601562
1713325310.0837018,21300,27.977832794189453
1713325339.628119,21400,29.695022583007812
1713325369.2600427,21500,27.612648010253906
1713325398.8128119,21600,29.258394241333008
1713325487.380282,21900,24.74972915649414
1713325517.0120728,22000,30.49905014038086
1713325605.6707044,22300,31.055448532104492
1713325635.3040173,22400,30.415363311767578
1713325694.4029148,22600,29.520545959472656
1713325723.9184642,22700,26.02217674255371
1713325753.4317741,22800,26.7093563079834
1713325812.5695562,23000,28.339214324951172
1713325842.1040077,23100,28.260902404785156
1713325871.6344407,23200,27.102014541625977
1713325901.260222,23300,30.774169921875
1713325930.788049,23400,30.09615135192871
1713325960.304615,23500,26.561687469482422
1713326049.0273561,23800,31.462371826171875
1713326078.5752883,23900,29.51485824584961
1713326137.6421995,24100,28.60089874267578
1713326256.0196068,24500,30.002573013305664
1713326285.5291634,24600,30.777738571166992
1713326344.6618268,24800,29.83085823059082
1713326435.7983603,25000,29.897071838378906
1713326465.3982563,25100,30.783164978027344
1713326613.06187,25600,29.618610382080078
1713326701.7079158,25900,29.491199493408203
1713326731.3850765,26000,26.619888305664062
1713326760.9061654,26100,29.723155975341797
1713326790.3799074,26200,29.630550384521484
1713326849.49122,26400,27.94614028930664
1713326967.7269404,26800,27.680557250976562
1713327026.9735749,27000,30.439640045166016
1713327086.0036893,27200,27.613632202148438
1713327115.5378199,27300,30.833406448364258
1713327145.163086,27400,29.74102783203125
1713327263.3876228,27800,29.004287719726562
1713327292.860223,27900,31.771617889404297
1713327351.8337226,28100,25.898059844970703
1713327410.9808223,28300,30.382959365844727
1713327470.0499845,28500,29.597444534301758
1713327617.812076,29000,29.674087524414062
1713327677.024094,29200,29.963138580322266
1713327706.5430877,29300,30.489723205566406
1713327795.2240984,29600,29.995067596435547
1713327854.2934153,29800,30.06110191345215
1713327883.8398218,29900,28.996553421020508
1713327913.3342676,30000,30.406980514526367
1713327972.420827,30200,30.80174446105957
1713328001.8836904,30300,30.036907196044922
1713328031.3125582,30400,31.132413864135742
1713328149.4661672,30800,31.553993225097656
1713328178.9181132,30900,30.69984245300293
1713328238.0821962,31100,30.01631736755371
1713328326.7275162,31400,30.2278995513916
1713328444.5566401,31800,31.148361206054688
1713328474.2186477,31900,29.492595672607422
1713328503.7492402,32000,31.406038284301758
1713328533.2255604,32100,28.35869789123535
1713328592.4491315,32300,30.1401309967041
1713328680.9734201,32600,29.96398162841797
1713328710.5207486,32700,31.19685173034668
1713328740.1423607,32800,30.83740234375
1713328828.6886866,33100,29.74998664855957
1713328858.3267226,33200,29.988670349121094
1713328917.3496468,33400,31.22959327697754
1713329094.455851,34000,29.807703018188477
1713329153.5748785,34200,29.055644989013672
1713329183.093702,34300,31.23202896118164
1713329212.6296027,34400,28.512969970703125
1713329242.1197104,34500,32.79471206665039
1713329271.7415428,34600,30.735504150390625
1713329330.760937,34800,31.84164047241211
1713329360.2384126,34900,31.4177303314209
1713329507.935174,35400,28.953868865966797
1713329537.5488214,35500,28.606372833251953
1713329596.5959058,35700,28.019512176513672
1713329655.7224665,35900,29.874181747436523
1713329685.188113,36000,31.812179565429688
1713329714.6307952,36100,28.325149536132812
1713329773.5983663,36300,29.632396697998047
1713329803.2387056,36400,31.607757568359375
1713329832.7792058,36500,32.43494415283203
1713329862.3190477,36600,29.983491897583008
1713329921.5495152,36800,30.64266586303711
1713329951.1124203,36900,29.389171600341797
1713330010.1163142,37100,29.737167358398438
1713330039.631189,37200,30.286523818969727
1713330098.8462849,37400,30.490982055664062
1713330157.8882465,37600,29.77880859375
1713330217.0909116,37800,28.926057815551758
1713330246.6645174,37900,30.897506713867188
